date,month,day_of_week,sku,sku_id,supplier,supplier_id,warehouse,warehouse_id,route,transport_mode,distance_km,transit_time_days,transit_delay_prob,is_perishable,shelf_life_days,unit_cost,shipping_cost,storage_cost_per_day,holding_cost_per_unit_per_day,base_daily_demand,observed_daily_demand,seasonal_multiplier,promotion,inventory_on_hand,lead_time_days,safety_stock,reorder_point,stockout_risk,supplier_order_cost,supplier_min_order_qty,eoq_monthly,recommended_order_qty,product_name
2024-05-05,5,6,SKU-041,41,Supplier-02,2,Warehouse-1,1,Route-09,Truck,882,11,0.389,0,13,91.1,103.8,0.6939,0.0304,20,30,1.0,0,16,21,9,429,0.99,119.97,1,397,397,MilkyWay Butter
2024-12-12,12,3,SKU-015,15,Supplier-03,3,Warehouse-6,6,Route-04,Air,653,1,0.226,0,106,25.11,42.54,0.3273,0.01,18,11,1.328,0,14,10,21,201,0.896,142.82,10,717,402,HealthyBite Masoor Dal
2024-08-04,8,6,SKU-048,48,Supplier-09,9,Warehouse-1,1,Route-19,Truck,1190,15,0.1,0,8,24.72,84.71,0.1041,0.01,5,6,1.0,0,9,14,12,82,0.953,98.8,5,314,167,RichCream Whipping Cream
2024-04-29,4,0,SKU-003,3,Supplier-01,1,Warehouse-1,1,Route-07,Truck,917,11,0.424,0,260,151.37,39.4,1.9572,0.0505,14,12,1.0,0,11,5,7,77,0.65,92.21,1,226,134,DailyGrain Wheat Flour
2024-04-11,4,3,SKU-033,33,Supplier-10,10,Warehouse-1,1,Route-18,Air,531,1,0.079,1,6,136.14,88.87,1.3326,0.0454,9,13,1.0,1,18,10,6,96,0.828,49.72,20,140,120,ChocoMelt Cookies
2024-08-02,8,4,SKU-046,46,Supplier-11,11,Warehouse-6,6,Route-18,Truck,1124,14,0.039,0,9,153.49,95.32,0.212,0.0512,17,15,1.0,0,19,21,12,369,0.987,107.32,5,267,267,MilkMate Full Cream Milk
2024-01-04,1,3,SKU-015,15,Supplier-08,8,Warehouse-5,5,Route-09,Truck,1347,17,0.321,0,85,25.11,116.23,0.1605,0.01,18,29,1.0,0,23,2,4,40,0.203,144.03,5,720,233,HealthyBite Masoor Dal
2024-06-23,6,6,SKU-049,49,Supplier-03,3,Warehouse-6,6,Route-14,Rail,622,5,0.157,0,5,21.4,22.49,0.386,0.01,12,21,1.221,0,13,10,7,127,0.864,142.82,10,585,290,SoftSpread Cheese Spread
2024-02-22,2,3,SKU-018,18,Supplier-03,3,Warehouse-2,2,Route-11,Truck,2324,29,0.285,0,83,166.16,190.19,0.7567,0.0554,3,3,1.0,0,9,10,5,35,0.842,142.82,10,124,63,FreshPulse Yellow Split Peas
2024-06-25,6,1,SKU-006,6,Supplier-07,7,Warehouse-1,1,Route-12,Truck,1457,18,0.249,0,212,85.46,68.66,0.632,0.0285,14,19,1.202,0,11,5,8,78,0.638,36.79,20,190,124,HealthyGrain Millet Mix
